component,item_id,item_label,parameter,value,unit,phase,source,source_type,confidence,notes
staffing_coefficient,alkaline_1gw:1321,1 GW Alkaline Electrolyser Plant: Manufacturing Managers,headcount_per_unit,40,workers/unit,construction,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Construction managers and area leads.
staffing_coefficient,alkaline_1gw:1321,1 GW Alkaline Electrolyser Plant: Manufacturing Managers,headcount_per_unit,10,workers/unit,operations,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Operations and maintenance managers.
staffing_coefficient,alkaline_1gw:2142,1 GW Alkaline Electrolyser Plant: Civil Engineers,headcount_per_unit,200,workers/unit,construction,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Foundations, buildings, roads, and civil works."
staffing_coefficient,alkaline_1gw:2145,1 GW Alkaline Electrolyser Plant: Chemical Engineers,headcount_per_unit,60,workers/unit,commissioning,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Process commissioning leadership, performance guarantee testing."
staffing_coefficient,alkaline_1gw:2145,1 GW Alkaline Electrolyser Plant: Chemical Engineers,headcount_per_unit,100,workers/unit,construction,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Process engineering, vendor oversight, and design verification."
staffing_coefficient,alkaline_1gw:2145,1 GW Alkaline Electrolyser Plant: Chemical Engineers,headcount_per_unit,25,workers/unit,operations,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Process optimization, troubleshooting, and efficiency improvement."
staffing_coefficient,alkaline_1gw:3113,1 GW Alkaline Electrolyser Plant: Electrical Engineering Technicians,headcount_per_unit,60,workers/unit,commissioning,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Electrical system commissioning, protection relay testing."
staffing_coefficient,alkaline_1gw:3113,1 GW Alkaline Electrolyser Plant: Electrical Engineering Technicians,headcount_per_unit,150,workers/unit,construction,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. E&I installation supervision and loop checking.
staffing_coefficient,alkaline_1gw:3113,1 GW Alkaline Electrolyser Plant: Electrical Engineering Technicians,headcount_per_unit,35,workers/unit,operations,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. E&I maintenance, rectifier upkeep, and instrument calibration."
staffing_coefficient,alkaline_1gw:3116,1 GW Alkaline Electrolyser Plant: Chemical Engineering Technicians,headcount_per_unit,30,workers/unit,commissioning,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Laboratory setup, water chemistry validation, and analytical method proving."
staffing_coefficient,alkaline_1gw:3116,1 GW Alkaline Electrolyser Plant: Chemical Engineering Technicians,headcount_per_unit,20,workers/unit,operations,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Laboratory analysts, water chemistry monitoring, and quality control."
staffing_coefficient,alkaline_1gw:3122,1 GW Alkaline Electrolyser Plant: Manufacturing Supervisors,headcount_per_unit,30,workers/unit,commissioning,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Commissioning supervision and system turnover.
staffing_coefficient,alkaline_1gw:3122,1 GW Alkaline Electrolyser Plant: Manufacturing Supervisors,headcount_per_unit,80,workers/unit,construction,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Construction supervision and quality control.
staffing_coefficient,alkaline_1gw:3122,1 GW Alkaline Electrolyser Plant: Manufacturing Supervisors,headcount_per_unit,15,workers/unit,operations,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Shift supervisors for operations and maintenance crews.
staffing_coefficient,alkaline_1gw:3132,1 GW Alkaline Electrolyser Plant: Incinerator and Water Treatment Plant Operators,headcount_per_unit,25,workers/unit,commissioning,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Boiler, cooling tower, and utilities commissioning."
staffing_coefficient,alkaline_1gw:3132,1 GW Alkaline Electrolyser Plant: Incinerator and Water Treatment Plant Operators,headcount_per_unit,80,workers/unit,construction,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. BOP utilities equipment installation.
staffing_coefficient,alkaline_1gw:3132,1 GW Alkaline Electrolyser Plant: Incinerator and Water Treatment Plant Operators,headcount_per_unit,15,workers/unit,operations,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Utilities operation including cooling, steam, and waste treatment."
staffing_coefficient,alkaline_1gw:3134,1 GW Alkaline Electrolyser Plant: Petroleum and Natural Gas Refining Plant Operators,headcount_per_unit,80,workers/unit,commissioning,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Process start-up, loop tuning, and performance testing."
staffing_coefficient,alkaline_1gw:3134,1 GW Alkaline Electrolyser Plant: Petroleum and Natural Gas Refining Plant Operators,headcount_per_unit,60,workers/unit,operations,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Electrolyser panel operators on shift rotation.
staffing_coefficient,alkaline_1gw:3135,1 GW Alkaline Electrolyser Plant: Metal Production Process Controllers,headcount_per_unit,40,workers/unit,commissioning,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. DCS/SCADA commissioning and control loop verification.
staffing_coefficient,alkaline_1gw:3135,1 GW Alkaline Electrolyser Plant: Metal Production Process Controllers,headcount_per_unit,35,workers/unit,operations,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. DCS/SCADA control room operators on shift rotation.
staffing_coefficient,alkaline_1gw:3152,1 GW Alkaline Electrolyser Plant: Health and Safety Inspectors,headcount_per_unit,40,workers/unit,commissioning,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Commissioning-phase HSE oversight, HAZOP close-out."
staffing_coefficient,alkaline_1gw:3152,1 GW Alkaline Electrolyser Plant: Health and Safety Inspectors,headcount_per_unit,150,workers/unit,construction,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Construction-phase HSE oversight.
staffing_coefficient,alkaline_1gw:3152,1 GW Alkaline Electrolyser Plant: Health and Safety Inspectors,headcount_per_unit,25,workers/unit,operations,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Ongoing plant HSE and permit-to-work management.
staffing_coefficient,alkaline_1gw:3257,1 GW Alkaline Electrolyser Plant: Environmental and Occupational Health Inspectors and Associates,headcount_per_unit,15,workers/unit,commissioning,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Stack emissions testing and environmental compliance verification.
staffing_coefficient,alkaline_1gw:3257,1 GW Alkaline Electrolyser Plant: Environmental and Occupational Health Inspectors and Associates,headcount_per_unit,50,workers/unit,construction,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Environmental monitoring and EIA compliance.
staffing_coefficient,alkaline_1gw:3257,1 GW Alkaline Electrolyser Plant: Environmental and Occupational Health Inspectors and Associates,headcount_per_unit,10,workers/unit,operations,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Ongoing environmental compliance and emissions monitoring.
staffing_coefficient,alkaline_1gw:7126,1 GW Alkaline Electrolyser Plant: Plumbers and Pipe Fitters,headcount_per_unit,35,workers/unit,commissioning,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Line flushing, pressure testing, and leak rectification."
staffing_coefficient,alkaline_1gw:7126,1 GW Alkaline Electrolyser Plant: Plumbers and Pipe Fitters,headcount_per_unit,540,workers/unit,construction,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Extensive piping for demin water, cooling, H2 gas, and KOH electrolyte."
staffing_coefficient,alkaline_1gw:7126,1 GW Alkaline Electrolyser Plant: Plumbers and Pipe Fitters,headcount_per_unit,15,workers/unit,operations,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Piping maintenance and valve servicing.
staffing_coefficient,alkaline_1gw:7212,1 GW Alkaline Electrolyser Plant: Welders and Flame Cutters,headcount_per_unit,30,workers/unit,commissioning,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Punch-list completion and tie-in welding.
staffing_coefficient,alkaline_1gw:7212,1 GW Alkaline Electrolyser Plant: Welders and Flame Cutters,headcount_per_unit,480,workers/unit,construction,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Pressure-vessel, piping, and structural welding during build."
staffing_coefficient,alkaline_1gw:7212,1 GW Alkaline Electrolyser Plant: Welders and Flame Cutters,headcount_per_unit,20,workers/unit,operations,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Maintenance welding for piping repairs and turnaround work.
staffing_coefficient,alkaline_1gw:7214,1 GW Alkaline Electrolyser Plant: Structural Metal Workers,headcount_per_unit,480,workers/unit,construction,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Steel structures, pipe racks, and equipment support frames."
staffing_coefficient,alkaline_1gw:7223,1 GW Alkaline Electrolyser Plant: Metal Working Machine Tool Setters and Operators,headcount_per_unit,250,workers/unit,construction,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. On-site fabrication, cutting, and forming of structural and piping components."
staffing_coefficient,alkaline_1gw:7233,1 GW Alkaline Electrolyser Plant: Agricultural and Industrial Machinery Mechanics and Repairers,headcount_per_unit,50,workers/unit,commissioning,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Mechanical run-tests, vibration analysis, and alignment verification."
staffing_coefficient,alkaline_1gw:7233,1 GW Alkaline Electrolyser Plant: Agricultural and Industrial Machinery Mechanics and Repairers,headcount_per_unit,180,workers/unit,construction,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Mechanical equipment installation and alignment.
staffing_coefficient,alkaline_1gw:7233,1 GW Alkaline Electrolyser Plant: Agricultural and Industrial Machinery Mechanics and Repairers,headcount_per_unit,45,workers/unit,operations,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Preventive and corrective maintenance of compressors, pumps, and rotating equipment."
staffing_coefficient,alkaline_1gw:7413,1 GW Alkaline Electrolyser Plant: Electrical Line Installers and Repairers,headcount_per_unit,380,workers/unit,construction,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. HV/LV cabling, rectifier connections, transformer installation."
staffing_coefficient,alkaline_1gw:8131,1 GW Alkaline Electrolyser Plant: Chemical Products Plant and Machine Operators,headcount_per_unit,70,workers/unit,commissioning,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Water treatment commissioning and BOP system start-up.
staffing_coefficient,alkaline_1gw:8131,1 GW Alkaline Electrolyser Plant: Chemical Products Plant and Machine Operators,headcount_per_unit,120,workers/unit,construction,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Pre-commissioning support and early operator training.
staffing_coefficient,alkaline_1gw:8131,1 GW Alkaline Electrolyser Plant: Chemical Products Plant and Machine Operators,headcount_per_unit,55,workers/unit,operations,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Water treatment, gas purification, and BOP operators."
staffing_coefficient,alkaline_1gw:8211,1 GW Alkaline Electrolyser Plant: Mechanical Machinery Assemblers,headcount_per_unit,350,workers/unit,construction,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Electrolyser stack assembly, skid mounting, rotating equipment installation."
staffing_coefficient,alkaline_1gw:8212,1 GW Alkaline Electrolyser Plant: Electrical and Electronic Equipment Assemblers,headcount_per_unit,250,workers/unit,construction,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Electrical panel building, instrumentation, and control system installation."
staffing_coefficient,ammonia_1mtpa:1120,1 MTPA Green Ammonia Synthesis Plant: Managing Directors and Chief Executives,headcount_per_unit,50,workers/unit,construction,TERI 2023,modeled_estimate,,"Project directors, site managers, and senior leadership."
staffing_coefficient,ammonia_1mtpa:1120,1 MTPA Green Ammonia Synthesis Plant: Managing Directors and Chief Executives,headcount_per_unit,8,workers/unit,operations,TERI 2023,modeled_estimate,,Plant director and department heads.
staffing_coefficient,ammonia_1mtpa:1321,1 MTPA Green Ammonia Synthesis Plant: Manufacturing Managers,headcount_per_unit,10,workers/unit,commissioning,TERI 2023,modeled_estimate,,Commissioning management and plant handover coordination.
staffing_coefficient,ammonia_1mtpa:1321,1 MTPA Green Ammonia Synthesis Plant: Manufacturing Managers,headcount_per_unit,40,workers/unit,construction,TERI 2023,modeled_estimate,,Construction managers and area leads.
staffing_coefficient,ammonia_1mtpa:1321,1 MTPA Green Ammonia Synthesis Plant: Manufacturing Managers,headcount_per_unit,6,workers/unit,operations,TERI 2023,modeled_estimate,,Operations and maintenance managers.
staffing_coefficient,ammonia_1mtpa:2142,1 MTPA Green Ammonia Synthesis Plant: Civil Engineers,headcount_per_unit,200,workers/unit,construction,TERI 2023,modeled_estimate,,"Foundations, blast-resistant control rooms, roads, and civil works for chemical plant."
staffing_coefficient,ammonia_1mtpa:2145,1 MTPA Green Ammonia Synthesis Plant: Chemical Engineers,headcount_per_unit,80,workers/unit,commissioning,TERI 2023,modeled_estimate,,"Catalyst loading, reactor conditioning, performance guarantee testing. Critical phase for ammonia synthesis."
staffing_coefficient,ammonia_1mtpa:2145,1 MTPA Green Ammonia Synthesis Plant: Chemical Engineers,headcount_per_unit,100,workers/unit,construction,TERI 2023,modeled_estimate,,"Process engineering, vendor oversight, HAZOP studies, and design verification."
staffing_coefficient,ammonia_1mtpa:2145,1 MTPA Green Ammonia Synthesis Plant: Chemical Engineers,headcount_per_unit,20,workers/unit,operations,TERI 2023,modeled_estimate,,"Process optimization, troubleshooting, catalyst management, and efficiency improvement."
staffing_coefficient,ammonia_1mtpa:3113,1 MTPA Green Ammonia Synthesis Plant: Electrical Engineering Technicians,headcount_per_unit,30,workers/unit,commissioning,TERI 2023,modeled_estimate,,"Electrical system commissioning, motor run tests, protection verification."
staffing_coefficient,ammonia_1mtpa:3113,1 MTPA Green Ammonia Synthesis Plant: Electrical Engineering Technicians,headcount_per_unit,120,workers/unit,construction,TERI 2023,modeled_estimate,,E&I installation supervision and loop checking.
staffing_coefficient,ammonia_1mtpa:3113,1 MTPA Green Ammonia Synthesis Plant: Electrical Engineering Technicians,headcount_per_unit,20,workers/unit,operations,TERI 2023,modeled_estimate,,"E&I maintenance, motor upkeep, and instrument calibration."
staffing_coefficient,ammonia_1mtpa:3116,1 MTPA Green Ammonia Synthesis Plant: Chemical Engineering Technicians,headcount_per_unit,40,workers/unit,commissioning,TERI 2023,modeled_estimate,,"Laboratory setup, ammonia/H2 analysis methods, catalyst activity verification."
staffing_coefficient,ammonia_1mtpa:3116,1 MTPA Green Ammonia Synthesis Plant: Chemical Engineering Technicians,headcount_per_unit,30,workers/unit,operations,TERI 2023,modeled_estimate,,"Laboratory analysts, ammonia quality monitoring, catalyst activity tracking."
staffing_coefficient,ammonia_1mtpa:3122,1 MTPA Green Ammonia Synthesis Plant: Manufacturing Supervisors,headcount_per_unit,100,workers/unit,construction,TERI 2023,modeled_estimate,,Construction supervision and quality control.
staffing_coefficient,ammonia_1mtpa:3122,1 MTPA Green Ammonia Synthesis Plant: Manufacturing Supervisors,headcount_per_unit,10,workers/unit,operations,TERI 2023,modeled_estimate,,Shift supervisors for operations and maintenance crews.
staffing_coefficient,ammonia_1mtpa:3132,1 MTPA Green Ammonia Synthesis Plant: Incinerator and Water Treatment Plant Operators,headcount_per_unit,80,workers/unit,construction,TERI 2023,modeled_estimate,,"Cooling water, steam, and waste treatment system installation."
staffing_coefficient,ammonia_1mtpa:3132,1 MTPA Green Ammonia Synthesis Plant: Incinerator and Water Treatment Plant Operators,headcount_per_unit,10,workers/unit,operations,TERI 2023,modeled_estimate,,"Cooling water, steam, and waste treatment operation."
staffing_coefficient,ammonia_1mtpa:3134,1 MTPA Green Ammonia Synthesis Plant: Petroleum and Natural Gas Refining Plant Operators,headcount_per_unit,60,workers/unit,commissioning,TERI 2023,modeled_estimate,,"Process start-up, synthesis loop tuning, and operational readiness."
staffing_coefficient,ammonia_1mtpa:3134,1 MTPA Green Ammonia Synthesis Plant: Petroleum and Natural Gas Refining Plant Operators,headcount_per_unit,50,workers/unit,operations,TERI 2023,modeled_estimate,,"Shift operators for synthesis loop, H2 compression, and utilities."
staffing_coefficient,ammonia_1mtpa:3135,1 MTPA Green Ammonia Synthesis Plant: Metal Production Process Controllers,headcount_per_unit,30,workers/unit,commissioning,TERI 2023,modeled_estimate,,DCS/SCADA commissioning and synthesis loop control verification.
staffing_coefficient,ammonia_1mtpa:3135,1 MTPA Green Ammonia Synthesis Plant: Metal Production Process Controllers,headcount_per_unit,15,workers/unit,operations,TERI 2023,modeled_estimate,,DCS/SCADA control room operators on shift rotation.
staffing_coefficient,ammonia_1mtpa:3152,1 MTPA Green Ammonia Synthesis Plant: Health and Safety Inspectors,headcount_per_unit,20,workers/unit,commissioning,TERI 2023,modeled_estimate,,"Commissioning-phase HSE, HAZOP close-out, emergency drill validation."
staffing_coefficient,ammonia_1mtpa:3152,1 MTPA Green Ammonia Synthesis Plant: Health and Safety Inspectors,headcount_per_unit,150,workers/unit,construction,TERI 2023,modeled_estimate,,Construction-phase HSE oversight. Higher than electrolyser due to chemical plant hazards.
staffing_coefficient,ammonia_1mtpa:3152,1 MTPA Green Ammonia Synthesis Plant: Health and Safety Inspectors,headcount_per_unit,15,workers/unit,operations,TERI 2023,modeled_estimate,,"Ongoing plant HSE, permit-to-work, and chemical safety management."
staffing_coefficient,ammonia_1mtpa:3257,1 MTPA Green Ammonia Synthesis Plant: Environmental and Occupational Health Inspectors and Associates,headcount_per_unit,10,workers/unit,commissioning,TERI 2023,modeled_estimate,,Emissions testing and environmental compliance verification.
staffing_coefficient,ammonia_1mtpa:3257,1 MTPA Green Ammonia Synthesis Plant: Environmental and Occupational Health Inspectors and Associates,headcount_per_unit,60,workers/unit,construction,TERI 2023,modeled_estimate,,Environmental monitoring and EIA compliance for chemical plant.
staffing_coefficient,ammonia_1mtpa:7126,1 MTPA Green Ammonia Synthesis Plant: Plumbers and Pipe Fitters,headcount_per_unit,20,workers/unit,commissioning,TERI 2023,modeled_estimate,,"Line flushing, HP pressure testing, and leak rectification."
staffing_coefficient,ammonia_1mtpa:7126,1 MTPA Green Ammonia Synthesis Plant: Plumbers and Pipe Fitters,headcount_per_unit,650,workers/unit,construction,TERI 2023,modeled_estimate,,"Extensive high-pressure piping for H2 feed, NH3 synthesis loop, refrigeration, and utilities."
staffing_coefficient,ammonia_1mtpa:7126,1 MTPA Green Ammonia Synthesis Plant: Plumbers and Pipe Fitters,headcount_per_unit,10,workers/unit,operations,TERI 2023,modeled_estimate,,Piping maintenance and valve servicing.
staffing_coefficient,ammonia_1mtpa:7212,1 MTPA Green Ammonia Synthesis Plant: Welders and Flame Cutters,headcount_per_unit,20,workers/unit,commissioning,TERI 2023,modeled_estimate,,Punch-list completion and tie-in welding.
staffing_coefficient,ammonia_1mtpa:7212,1 MTPA Green Ammonia Synthesis Plant: Welders and Flame Cutters,headcount_per_unit,700,workers/unit,construction,TERI 2023,modeled_estimate,,"Pressure-vessel welding dominant. HP reactor vessels, heat exchangers, and piping for 150-300 bar operating pressure."
staffing_coefficient,ammonia_1mtpa:7212,1 MTPA Green Ammonia Synthesis Plant: Welders and Flame Cutters,headcount_per_unit,10,workers/unit,operations,TERI 2023,modeled_estimate,,Maintenance welding for HP piping repairs and turnaround work.
staffing_coefficient,ammonia_1mtpa:7214,1 MTPA Green Ammonia Synthesis Plant: Structural Metal Workers,headcount_per_unit,500,workers/unit,construction,TERI 2023,modeled_estimate,,"Steel structures, pipe racks, reactor support frames, and equipment foundations."
staffing_coefficient,ammonia_1mtpa:7223,1 MTPA Green Ammonia Synthesis Plant: Metal Working Machine Tool Setters and Operators,headcount_per_unit,200,workers/unit,construction,TERI 2023,modeled_estimate,,"On-site fabrication, cutting, and forming of structural and piping components."
staffing_coefficient,ammonia_1mtpa:7233,1 MTPA Green Ammonia Synthesis Plant: Agricultural and Industrial Machinery Mechanics and Repairers,headcount_per_unit,30,workers/unit,commissioning,TERI 2023,modeled_estimate,,"Compressor run-in, vibration analysis, and alignment verification."
staffing_coefficient,ammonia_1mtpa:7233,1 MTPA Green Ammonia Synthesis Plant: Agricultural and Industrial Machinery Mechanics and Repairers,headcount_per_unit,40,workers/unit,operations,TERI 2023,modeled_estimate,,"Compressor, pump, and rotating equipment maintenance. High-pressure specialist skills."
staffing_coefficient,ammonia_1mtpa:7413,1 MTPA Green Ammonia Synthesis Plant: Electrical Line Installers and Repairers,headcount_per_unit,300,workers/unit,construction,TERI 2023,modeled_estimate,,"HV/LV cabling, motor connections, transformer and substation installation."
staffing_coefficient,ammonia_1mtpa:8131,1 MTPA Green Ammonia Synthesis Plant: Chemical Products Plant and Machine Operators,headcount_per_unit,50,workers/unit,commissioning,TERI 2023,modeled_estimate,,"ASU commissioning, refrigeration start-up, utilities testing."
staffing_coefficient,ammonia_1mtpa:8131,1 MTPA Green Ammonia Synthesis Plant: Chemical Products Plant and Machine Operators,headcount_per_unit,100,workers/unit,construction,TERI 2023,modeled_estimate,,"Pre-commissioning support, catalyst handling training."
staffing_coefficient,ammonia_1mtpa:8131,1 MTPA Green Ammonia Synthesis Plant: Chemical Products Plant and Machine Operators,headcount_per_unit,60,workers/unit,operations,TERI 2023,modeled_estimate,,"Ammonia synthesis operators, ASU operators, refrigeration. Largest group � this is a chemical plant."
staffing_coefficient,ammonia_1mtpa:8211,1 MTPA Green Ammonia Synthesis Plant: Mechanical Machinery Assemblers,headcount_per_unit,400,workers/unit,construction,TERI 2023,modeled_estimate,,"Heavy rigging, reactor installation, compressor trains, and rotating equipment."
staffing_coefficient,ammonia_1mtpa:8212,1 MTPA Green Ammonia Synthesis Plant: Electrical and Electronic Equipment Assemblers,headcount_per_unit,150,workers/unit,construction,TERI 2023,modeled_estimate,,"Electrical panel building, instrumentation, and control system installation."
staffing_coefficient,pem_500mw:1120,500 MW PEM Electrolyser Plant: Managing Directors and Chief Executives,headcount_per_unit,25,workers/unit,construction,IRENA 2024,modeled_estimate,,Project directors and senior leadership.
staffing_coefficient,pem_500mw:1120,500 MW PEM Electrolyser Plant: Managing Directors and Chief Executives,headcount_per_unit,5,workers/unit,operations,IRENA 2024,modeled_estimate,,Plant director and department heads.
staffing_coefficient,pem_500mw:1321,500 MW PEM Electrolyser Plant: Manufacturing Managers,headcount_per_unit,10,workers/unit,commissioning,IRENA 2024,modeled_estimate,,Commissioning management and handover coordination.
staffing_coefficient,pem_500mw:1321,500 MW PEM Electrolyser Plant: Manufacturing Managers,headcount_per_unit,20,workers/unit,construction,IRENA 2024,modeled_estimate,,Construction managers and area leads.
staffing_coefficient,pem_500mw:1321,500 MW PEM Electrolyser Plant: Manufacturing Managers,headcount_per_unit,4,workers/unit,operations,IRENA 2024,modeled_estimate,,Operations and maintenance managers.
staffing_coefficient,pem_500mw:2142,500 MW PEM Electrolyser Plant: Civil Engineers,headcount_per_unit,100,workers/unit,construction,IRENA 2024,modeled_estimate,,"Foundations, buildings, roads. Smaller footprint than alkaline 1 GW."
staffing_coefficient,pem_500mw:2145,500 MW PEM Electrolyser Plant: Chemical Engineers,headcount_per_unit,40,workers/unit,commissioning,IRENA 2024,modeled_estimate,,"Process commissioning leadership, membrane conditioning, performance guarantee testing."
staffing_coefficient,pem_500mw:2145,500 MW PEM Electrolyser Plant: Chemical Engineers,headcount_per_unit,40,workers/unit,construction,IRENA 2024,modeled_estimate,,Process engineering and vendor oversight for PEM-specific systems.
staffing_coefficient,pem_500mw:2145,500 MW PEM Electrolyser Plant: Chemical Engineers,headcount_per_unit,10,workers/unit,operations,IRENA 2024,modeled_estimate,,"Process optimization, membrane degradation tracking, efficiency improvement."
staffing_coefficient,pem_500mw:3113,500 MW PEM Electrolyser Plant: Electrical Engineering Technicians,headcount_per_unit,50,workers/unit,commissioning,IRENA 2024,modeled_estimate,,"Electrical system commissioning, power electronics validation, protection relay testing."
staffing_coefficient,pem_500mw:3113,500 MW PEM Electrolyser Plant: Electrical Engineering Technicians,headcount_per_unit,100,workers/unit,construction,IRENA 2024,modeled_estimate,,"E&I installation supervision, power electronics testing, loop checking."
staffing_coefficient,pem_500mw:3113,500 MW PEM Electrolyser Plant: Electrical Engineering Technicians,headcount_per_unit,30,workers/unit,operations,IRENA 2024,modeled_estimate,,"E&I maintenance, power electronics upkeep, instrument calibration. Highest ops share due to PEM electronics intensity."
staffing_coefficient,pem_500mw:3116,500 MW PEM Electrolyser Plant: Chemical Engineering Technicians,headcount_per_unit,15,workers/unit,commissioning,IRENA 2024,modeled_estimate,,Water chemistry validation and analytical method proving.
staffing_coefficient,pem_500mw:3116,500 MW PEM Electrolyser Plant: Chemical Engineering Technicians,headcount_per_unit,10,workers/unit,operations,IRENA 2024,modeled_estimate,,"Laboratory analysts, water chemistry monitoring, and quality control."
staffing_coefficient,pem_500mw:3122,500 MW PEM Electrolyser Plant: Manufacturing Supervisors,headcount_per_unit,40,workers/unit,construction,IRENA 2024,modeled_estimate,,Construction supervision and quality control.
staffing_coefficient,pem_500mw:3122,500 MW PEM Electrolyser Plant: Manufacturing Supervisors,headcount_per_unit,5,workers/unit,operations,IRENA 2024,modeled_estimate,,Shift supervisors for operations and maintenance crews.
staffing_coefficient,pem_500mw:3132,500 MW PEM Electrolyser Plant: Incinerator and Water Treatment Plant Operators,headcount_per_unit,40,workers/unit,construction,IRENA 2024,modeled_estimate,,BOP utilities equipment installation.
staffing_coefficient,pem_500mw:3134,500 MW PEM Electrolyser Plant: Petroleum and Natural Gas Refining Plant Operators,headcount_per_unit,30,workers/unit,commissioning,IRENA 2024,modeled_estimate,,"Process start-up, electrolyser conditioning, performance testing."
staffing_coefficient,pem_500mw:3134,500 MW PEM Electrolyser Plant: Petroleum and Natural Gas Refining Plant Operators,headcount_per_unit,20,workers/unit,operations,IRENA 2024,modeled_estimate,,Electrolyser panel operators on shift rotation.
staffing_coefficient,pem_500mw:3135,500 MW PEM Electrolyser Plant: Metal Production Process Controllers,headcount_per_unit,30,workers/unit,commissioning,IRENA 2024,modeled_estimate,,DCS/SCADA commissioning and control loop verification.
staffing_coefficient,pem_500mw:3135,500 MW PEM Electrolyser Plant: Metal Production Process Controllers,headcount_per_unit,10,workers/unit,operations,IRENA 2024,modeled_estimate,,DCS/SCADA control room operators on shift rotation.
staffing_coefficient,pem_500mw:3152,500 MW PEM Electrolyser Plant: Health and Safety Inspectors,headcount_per_unit,15,workers/unit,commissioning,IRENA 2024,modeled_estimate,,Commissioning-phase HSE oversight.
staffing_coefficient,pem_500mw:3152,500 MW PEM Electrolyser Plant: Health and Safety Inspectors,headcount_per_unit,60,workers/unit,construction,IRENA 2024,modeled_estimate,,Construction-phase HSE oversight.
staffing_coefficient,pem_500mw:3152,500 MW PEM Electrolyser Plant: Health and Safety Inspectors,headcount_per_unit,8,workers/unit,operations,IRENA 2024,modeled_estimate,,Ongoing plant HSE and permit-to-work management.
staffing_coefficient,pem_500mw:3257,500 MW PEM Electrolyser Plant: Environmental and Occupational Health Inspectors and Associates,headcount_per_unit,20,workers/unit,construction,IRENA 2024,modeled_estimate,,Environmental monitoring and EIA compliance.
staffing_coefficient,pem_500mw:7126,500 MW PEM Electrolyser Plant: Plumbers and Pipe Fitters,headcount_per_unit,10,workers/unit,commissioning,IRENA 2024,modeled_estimate,,"Line flushing, pressure testing, and leak rectification."
